,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
269,DE000MA5M8N6,"Turbo | Long | CAC 40 ® | 5.760,00 | 18.06.21",Turbo,CAC 40 ®,02.03.2021,"0,720 EUR","0,670 EUR"
270,DE000MA5M991,"Turbo Open End | Long | Cadence Design Systems | 130,00",Turbo Open End,Cadence Design Systems,02.03.2021,"1,130 EUR","1,110 EUR"
271,DE000MA5M8Y3,"Turbo Open End | Long | CAC 40 ® | 5.740,00",Turbo Open End,CAC 40 ®,02.03.2021,"0,970 EUR","0,960 EUR"
272,DE000MA5MT40,"Optionsschein | Call | BMW | 106,00 | 16.12.22",Optionsschein,BMW,02.03.2021,"0,226 EUR","0,165 EUR"
273,DE000MA5M819,"Mini-Future | Long | CAC 40 ® | 5.730,00 | 5.645,3201",Mini-Future,CAC 40 ®,02.03.2021,"1,750 EUR","1,740 EUR"
274,DE000MA5MA66,"Turbo | Long | Baidu | 240,00 | 18.06.21",Turbo,Baidu,02.03.2021,"5,550 EUR","5,490 EUR"
275,DE000MA5M8P1,"Turbo | Long | CAC 40 ® | 5.760,00 | 19.03.21",Turbo,CAC 40 ®,02.03.2021,"0,810 EUR","0,800 EUR"
276,DE000MA5MS90,"Optionsschein | Call | BNP Paribas | 62,50 | 18.06.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,038 EUR"
277,DE000MA5MSB7,"Optionsschein | Call | BNP Paribas | 65,00 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,111 EUR"
278,DE000MA5MHX4,"Optionsschein | Call | BMW | 98,00 | 18.06.21",Optionsschein,BMW,02.03.2021,"0,031 EUR","0,007 EUR"
279,DE000MA5MH44,"Optionsschein | Call | BASF | 84,00 | 18.06.21",Optionsschein,BASF,02.03.2021,"0,048 EUR","0,028 EUR"
280,DE000MA5MS41,"Optionsschein | Call | BNP Paribas | 52,50 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,410 EUR"
281,DE000MA5MSJ0,"Optionsschein | Call | Daimler | 90,00 | 18.03.22",Optionsschein,Daimler,02.03.2021,"0,219 EUR","0,199 EUR"
282,DE000MA5MNW4,"Optionsschein | Call | Credit Agricole | 15,00 | 17.09.21",Optionsschein,Credit Agricole,02.03.2021,-,"0,168 EUR"
283,DE000MA5M801,"Mini-Future | Long | CAC 40 ® | 5.720,00 | 5.635,4679",Mini-Future,CAC 40 ®,02.03.2021,"1,850 EUR","1,840 EUR"
284,DE000MA5MSK8,"Optionsschein | Call | Daimler | 90,00 | 18.06.21",Optionsschein,Daimler,02.03.2021,"0,040 EUR","0,020 EUR"
285,DE000MA5MNU8,"Optionsschein | Call | Credit Agricole | 15,00 | 18.06.21",Optionsschein,Credit Agricole,02.03.2021,-,"0,089 EUR"
286,DE000MA5MLC0,"Optionsschein | Call | Daimler | 60,00 | 16.09.22",Optionsschein,Daimler,02.03.2021,"1,380 EUR","1,320 EUR"
287,DE000MA5MRB9,"Optionsschein | Call | Danone | 65,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,134 EUR"
288,DE000MA5MLH9,"Optionsschein | Call | Daimler | 100,00 | 16.12.22",Optionsschein,Daimler,02.03.2021,"0,260 EUR","0,200 EUR"
289,DE000MA5MRF0,"Optionsschein | Call | Danone | 72,50 | 17.09.21",Optionsschein,Danone,02.03.2021,-,"0,031 EUR"
290,DE000MA5MRE3,"Optionsschein | Call | Danone | 72,50 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,056 EUR"
291,DE000MA5MR91,"Optionsschein | Call | Danone | 60,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,230 EUR"
