Produkttyp,Valor,SIX Symbol,ISIN,Basiswert,Name,Fälligkeitsdatum,Währung,Geld,Brief
Warrant,57946351,CLVNAU,CH0579463511,Clariant,Call Warrant,19.03.21,CHF,0.17,0.18
Warrant,57946350,CFUR9U,CH0579463503,Richemont,Call Warrant,17.06.22,CHF,0.6,0.61
Warrant,57946349,CFUR8U,CH0579463495,Richemont,Call Warrant,17.06.22,CHF,1.519999981,1.529999971
Warrant,57946348,CFUR7U,CH0579463487,Richemont,Call Warrant,17.12.21,CHF,0.12,0.13
Warrant,57946347,SMQIHU,CH0579463479,SMI PR Index,Call Warrant,16.06.23,CHF,2.869999886,2.880000114
Warrant,57946346,SMPI7U,CH0579463461,SMI PR Index,Call Warrant,17.09.21,CHF,0.209999993,0.219999999
Warrant,57946345,SMPI6U,CH0579463453,SMI PR Index,Call Warrant,17.09.21,CHF,0.3,0.31
Warrant,57946344,SMPI4U,CH0579463446,SMI PR Index,Call Warrant,17.09.21,CHF,0.419999987,0.430000007
Warrant,57946342,SMPI2U,CH0579463420,SMI PR Index,Call Warrant,17.09.21,CHF,0.980000019,0.99000001
Warrant,57946341,SMPI1U,CH0579463412,SMI PR Index,Call Warrant,17.09.21,CHF,1.220000029,1.230000019
Warrant,57946340,SMPIOU,CH0579463404,SMI PR Index,Call Warrant,17.09.21,CHF,1.49000001,1.5
Warrant,57946339,SMPILU,CH0579463396,SMI PR Index,Call Warrant,18.06.21,CHF,0.3,0.31
Warrant,57946338,SMPIKU,CH0579463388,SMI PR Index,Call Warrant,18.06.21,CHF,1.529999971,1.539999962
Warrant,57946337,SMPIFU,CH0579463370,SMI PR Index,Call Warrant,19.03.21,CHF,0.01,0.02
Warrant,57946336,SMPIDU,CH0579463362,SMI PR Index,Call Warrant,19.03.21,CHF,0.05,0.06
Warrant,57946335,SMPICU,CH0579463354,SMI PR Index,Call Warrant,19.03.21,CHF,0.43,0.44
Warrant,57946334,SMPIBU,CH0579463347,SMI PR Index,Call Warrant,19.03.21,CHF,0.769999981,0.779999971
Warrant,57946333,SMPIAU,CH0579463339,SMI PR Index,Call Warrant,19.03.21,CHF,1.129999995,1.149999976
Mini-Future,57946324,,CH0579463248,Partners Group,Short Mini-Future,Open End,CHF,0.319000006,0.342999995
Mini-Future,57946323,,CH0579463230,Novartis,Short Mini-Future,Open End,CHF,0.714999974,0.739000022
Mini-Future,57946305,,CH0579463057,Baloise,Short Mini-Future,Open End,CHF,0.841000021,0.86500001
Mini-Future,57946298,,CH0579462984,VAT Group AG,Long Mini-Future,Open End,CHF,1.373000026,1.406999946
Mini-Future,57946297,,CH0579462976,OC Oerlikon,Long Mini-Future,Open End,CHF,0.625999987,0.660000026
Mini-Future,57946295,,CH0579462950,The Swatch Grp Bearer,Long Mini-Future,Open End,CHF,1.605000019,1.628999949
Mini-Future,57946274,,CH0579462745,Richemont,Long Mini-Future,Open End,CHF,1.669999957,1.694000006
Warrant mit Knock-Out,57946260,,CH0579462604,Partners Group,Open End Turbo Put Warrant,Open End,CHF,0.395999998,0.419999987
Warrant mit Knock-Out,57946259,,CH0579462596,Novartis,Open End Turbo Put Warrant,Open End,CHF,0.994000018,1.018000007
Warrant mit Knock-Out,57946255,,CH0579462554,Lonza,Open End Turbo Put Warrant,Open End,CHF,0.994000018,1.018000007
Warrant mit Knock-Out,57946250,,CH0579462505,Georg Fischer,Open End Turbo Put Warrant,Open End,CHF,0.128999993,0.152999997
Warrant mit Knock-Out,57946242,,CH0579462422,OC Oerlikon,Open End Turbo Call Warrant,Open End,CHF,0.58099997,0.61500001
Warrant mit Knock-Out,57946224,,CH0579462240,Richemont,Open End Turbo Call Warrant,Open End,CHF,1.536999941,1.56099999
Warrant mit Knock-Out,57946220,,CH0579462208,ABB,Open End Turbo Call Warrant,Open End,CHF,1.47300005,1.496999979
Warrant mit Knock-Out,57946208,OBSTQU,CH0579462083,Basilea,Open End Turbo Put Warrant,Open End,CHF,0.65,0.67
