"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Mini-Future","57215520","","CH0572155205","Straumann","Long Mini-Future","Open End","CHF","1.700999975204468","1.725000023841858"
"Mini-Future","57215519","","CH0572155197","Swiss Re","Long Mini-Future","Open End","CHF","2.165999889373779","2.190000057220459"
"Mini-Future","57215518","","CH0572155189","Swiss Re","Long Mini-Future","Open End","CHF","2.348000049591064","2.371999979019165"
"Mini-Future","57215517","","CH0572155171","Swiss Re","Long Mini-Future","Open End","CHF","2.530999898910522","2.555000066757202"
"Mini-Future","57215516","","CH0572155163","Swiss Re","Long Mini-Future","Open End","CHF","2.713000059127808","2.736999988555908"
"Mini-Future","57215515","","CH0572155155","STADLER RAIL AG","Long Mini-Future","Open End","CHF","0.6179999709129333","0.6639999747276306"
"Mini-Future","57215514","","CH0572155148","Swiss Life","Long Mini-Future","Open End","CHF","3.121999979019165","3.145999908447266"
"Mini-Future","57215513","","CH0572155130","Swiss Life","Long Mini-Future","Open End","CHF","3.289999961853027","3.313999891281128"
"Mini-Future","57215512","","CH0572155122","Swiss Life","Long Mini-Future","Open End","CHF","3.45799994468689","3.482000112533569"
"Mini-Future","57215510","","CH0572155106","Sika AG","Long Mini-Future","Open End","CHF","0.9950000047683716","1.019000053405762"
"Mini-Future","57215508","","CH0572155080","SGS","Long Mini-Future","Open End","CHF","0.7450000047683716","0.7689999938011169"
"Mini-Future","57215507","","CH0572155072","SFS Holding","Long Mini-Future","Open End","CHF","1.223000049591064","1.246999979019165"
"Mini-Future","57215501","","CH0572155015","Partners Group","Long Mini-Future","Open End","CHF","1.860999941825867","1.884999990463257"
"Mini-Future","57215500","","CH0572155007","Partners Group","Long Mini-Future","Open End","CHF","2.121999979019165","2.145999908447266"
"Mini-Future","57215499","","CH0572154992","Novartis","Long Mini-Future","Open End","CHF","0.5600000023841858","0.5839999914169312"
"Mini-Future","57215498","","CH0572154984","Novartis","Long Mini-Future","Open End","CHF","0.6769999861717224","0.7009999752044678"
"Mini-Future","57215497","","CH0572154976","Novartis","Long Mini-Future","Open End","CHF","1.25600004196167","1.279999971389771"
"Mini-Future","57215496","","CH0572154968","Novartis","Long Mini-Future","Open End","CHF","1.373000025749207","1.396999955177307"
"Mini-Future","57215493","","CH0572154935","Meyer Burger Technology AG","Long Mini-Future","Open End","CHF","0.39","0.414"
"Mini-Future","57215492","","CH0572154927","Meyer Burger Technology AG","Long Mini-Future","Open End","CHF","0.41","0.434"
"Mini-Future","57215491","","CH0572154919","Meyer Burger Technology AG","Long Mini-Future","Open End","CHF","0.43","0.454"
"Warrant mit Knock-Out","57215484","","CH0572154844","Novartis","Turbo Call Warrant","2021-06-18","CHF","0.492000013589859","0.515999972820282"
"Warrant mit Knock-Out","57215483","","CH0572154836","Novartis","Turbo Call Warrant","2021-06-18","CHF","1.692000031471252","1.715999960899353"
"Warrant mit Knock-Out","57215482","","CH0572154828","Novartis","Turbo Call Warrant","2021-03-19","CHF","0.4990000128746033","0.5230000019073486"
"Warrant mit Knock-Out","57215477","","CH0572154778","Credit Suisse","Turbo Call Warrant","2021-06-18","CHF","1.309999942779541","1.333999991416931"
"Warrant mit Knock-Out","57215476","","CH0572154760","Credit Suisse","Turbo Call Warrant","2021-06-18","CHF","1.47599995136261","1.5"
"Warrant mit Knock-Out","57215475","","CH0572154752","Credit Suisse","Turbo Call Warrant","2021-03-19","CHF","1.396999955177307","1.421000003814697"
"Warrant mit Knock-Out","57215474","","CH0572154745","Credit Suisse","Turbo Call Warrant","2021-03-19","CHF","1.564000010490417","1.588000059127808"
"Warrant mit Knock-Out","57215471","","CH0572154711","ABB","Turbo Call Warrant","2021-06-18","CHF","0.9490000009536743","0.9729999899864197"
"Warrant mit Knock-Out","57215470","","CH0572154703","ABB","Turbo Call Warrant","2021-03-19","CHF","1.093999981880188","1.118000030517578"
"Warrant mit Knock-Out","57215468","","CH0572154687","SMI PR Index","Turbo Call Warrant","2021-06-18","CHF","8.175999641418457","8.236000061035156"
"Warrant mit Knock-Out","57215467","","CH0572154679","SMI PR Index","Turbo Call Warrant","2021-06-18","CHF","10.10000038146973","10.15999984741211"
"Warrant mit Knock-Out","57215466","","CH0572154661","SMI PR Index","Turbo Call Warrant","2021-03-19","CHF","9.543000221252441","9.602999687194824"
"Warrant mit Knock-Out","57215465","","CH0572154653","SMI PR Index","Turbo Call Warrant","2021-03-19","CHF","11.53499984741211","11.59500026702881"
