Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UYS9;HUGO BOSS;24.03.2023 00:00:00;103,19;103,40;3,36 %;24,70 %;5,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYA7;Deutsche Wohnen;24.03.2023 00:00:00;98,47;98,67;4,13 %;9,63 %;3,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXW3;Deutsche Bank;24.03.2023 00:00:00;101,17;101,32;3,42 %;36,36 %;4,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXS1;Daimler;24.03.2023 00:00:00;98,86;98,96;2,93 %;32,08 %;2,40 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXJ0;Commerzbank;24.03.2023 00:00:00;100,49;100,64;3,67 %;35,54 %;4,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXC5;Bayer;24.03.2023 00:00:00;97,26;97,36;6,50 %;10,22 %;5,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UX21;AXA;24.03.2023 00:00:00;99,87;99,97;3,01 %;27,97 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWV7;adidas;24.03.2023 00:00:00;98,96;99,06;4,79 %;11,73 %;4,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA92;Wacker Chemie;24.03.2023 00:00:00;98,74;98,94;6,41 %;20,97 %;5,85 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2VA50;Volkswagen;24.03.2023 00:00:00;99,73;99,83;5,48 %;16,19 %;5,40 %;EUR;;;Basic (nicht nachhaltig)
